id,disp.heinz41,disp.heinz32,disp.heinz28,disp.hunts32,feat.heinz41,feat.heinz32,feat.heinz28,feat.hunts32,price.heinz41,price.heinz32,price.heinz28,price.hunts32,choice
1,0,0,0,0,0,0,0,0,4.6,3.7,5.2000001,3.4000002,2
1,0,0,0,0,0,0,0,0,4.6,4.3000001,5.2000001,4.4,2
1,0,0,0,0,0,1,0,0,4.6,2.5,4.6,4.8,2
1,0,0,0,0,0,0,0,0,4.6,3.7,5.2000001,3.4000002,2
1,0,0,0,0,0,0,1,0,4.6,2.9999999,4.6,4.8,2
1,0,0,0,0,0,0,0,0,5.0000001,2.9999999,4.6999998,2.9999999,2
1,0,0,0,1,0,0,0,1,5.0999999,3.0999999,4.6,4.1000001,2
1,0,0,0,0,0,0,0,0,4.6,3.4000002,4.6999998,3.0999999,0
1,0,0,0,0,0,0,0,0,5.0000001,3.4000002,4.6999998,3.0999999,2
1,0,0,0,1,0,0,0,0,5.0000001,3.4000002,5.0000001,2.8000001,2
1,0,0,0,0,0,0,0,0,4.5000002,3.2000002,5.0000001,4.1000001,2
1,0,0,0,0,0,0,0,0,5.0000001,3.7,5.0000001,3.4000002,2
1,0,0,0,0,0,0,0,0,5.0000001,3.7,5.2999999,3.7,2
1,0,0,1,0,0,0,0,0,5.2000001,3.7,3.5999998,3.7,2
2,0,0,0,0,0,0,0,0,4.6,3.7,5.2000001,3.7,2
2,0,0,0,0,0,0,0,0,4.6,3.0999999,5.2000001,3.4000002,1
2,0,0,0,0,0,0,0,0,4.6,1.7999999,5.2000001,3.4000002,1
2,0,0,0,0,1,0,0,0,4.6,3.0999999,4.1999999,3.5,2
2,0,0,0,0,0,0,0,0,5.0000001,3.4000002,5.0000001,3.0999999,2
2,0,0,0,0,0,0,0,0,4.4,3.7,4.3000001,3.4000002,2
2,0,0,0,0,0,0,0,0,5.0000001,3.7,3.9000001,3.7,2
3,0,0,0,0,0,0,0,0,4.6,2.8000001,5.2000001,3.5999998,1
3,0,0,0,0,0,0,0,0,4.6,3.7,5.2000001,3.4000002,1
3,0,0,0,0,0,0,0,0,4.6,2.8000001,5.2000001,3.7,1
3,0,0,0,0,0,0,0,0,4.6,3.7,4.6999998,3.5,1
3,0,0,1,0,0,0,0,0,5.0000001,3.7,3.9000001,3.4000002,2
3,0,1,0,0,0,0,0,0,5.0000001,3.0999999,4.1000001,3.4000002,1
3,0,0,0,0,1,0,0,0,3.2000002,2.9999999,3.5,2.8000001,1
3,0,0,0,0,0,0,0,0,5.0000001,2.9999999,4.6999998,2.9999999,1
3,0,0,0,0,0,0,1,0,5.0000001,2.9999999,3.9000001,2.9999999,2
3,0,0,0,0,0,0,0,0,4.1999999,3.4000002,4.4,2.9999999,1
3,0,1,0,0,0,0,0,0,5.0000001,3.0999999,4.6999998,3.0999999,1
3,0,1,0,0,0,0,0,0,5.0000001,3.0999999,4.6999998,3.0999999,1
3,0,0,0,0,0,0,0,0,5.0000001,3.4000002,4.6999998,3.0999999,1
3,0,0,0,0,0,0,0,0,5.0000001,3.4000002,5.0000001,2.8999999,1
3,0,0,0,0,0,0,0,0,5.0000001,3.4000002,5.0000001,3.4000002,1
3,0,0,0,0,0,0,0,0,5.0000001,3.7,5.0000001,3.4000002,1
3,0,1,0,0,0,0,0,0,5.0000001,3.0999999,5.0000001,3.4000002,1
3,0,0,0,0,0,0,0,0,5.0000001,3.7,5.0000001,3.4000002,1
3,0,0,0,0,0,0,0,0,4.4,3.7,5.5,3.4000002,1
3,0,0,0,0,0,0,0,0,5.2000001,3.7,3.5999998,3.7,2
4,0,0,0,0,0,0,0,0,4.6,2.8000001,5.2000001,3.5,1
4,0,0,0,0,0,0,0,0,4.1999999,2.9999999,4.6999998,3.4000002,0
4,0,1,0,0,0,0,0,0,5.0000001,2.8000001,3.5,2.9999999,2
4,0,0,0,0,0,0,0,0,4.1999999,3.4000002,4.3000001,3.0999999,1
4,0,0,1,0,0,0,0,0,5.0000001,3.4000002,3.9000001,3.0999999,2
4,0,0,0,0,0,0,0,0,5.0000001,3.4000002,4.6999998,3.0999999,1
4,0,0,0,0,1,0,0,0,5.0000001,3.4000002,3.9000001,3.5,1
4,0,0,1,0,0,0,0,0,5.0000001,3.7,3.9000001,3.7,2
4,0,0,0,0,1,0,0,0,4.6,3.2000002,5.0000001,4.1000001,1
5,0,0,0,0,0,0,0,0,4.6,2.8000001,5.2000001,3.5999998,1
5,0,0,0,0,0,0,0,0,4.6,3.4000002,5.0000001,3.9000001,1
5,0,0,0,0,1,0,0,0,3.2000002,2.9999999,3.5,2.8000001,1
5,0,0,0,0,0,0,0,0,5.0000001,3.4000002,3.4000002,2.8000001,1
5,1,0,0,0,0,0,0,0,3.5,2.9999999,4.3000001,2.9999999,0
6,0,0,0,0,0,0,0,0,4.6,3.4000002,5.0000001,3.3,3
6,0,0,0,0,0,0,0,0,4.6,3.4000002,5.6000002,3.7999999,1
6,0,0,0,0,0,0,0,0,4.6,3.0999999,4.8,4.4,1
6,0,0,0,0,0,0,0,0,4.6,3.0999999,4.1999999,3.7,1
6,0,0,0,0,0,0,0,1,4.6,3.0999999,4.8999999,3.5999998,1
6,0,0,0,0,0,0,0,1,4.6999998,2.7000001,2.8999999,3.5999998,3
6,0,0,0,0,0,0,0,1,4.8,2.7000001,2.4,3.5,1
6,0,0,0,0,0,0,0,0,4.8,2.7000001,3.4000002,3.3,2
6,0,0,0,0,0,0,0,0,4.8999999,2.7000001,4.1000001,3.5,1
6,0,0,0,0,0,1,0,0,4.6,1.2,4.1000001,3.5,1
6,0,0,0,0,0,0,0,0,4.6,3.0999999,4.1999999,4.1999999,1
6,0,0,0,0,0,0,0,0,5.0000001,3.0999999,4.1999999,3.5,1
6,0,0,0,0,0,0,0,0,4.6,3.7,4.1999999,3.5,1
6,0,0,0,0,0,0,0,0,4.8,3.7,4.6999998,3.5,3
6,0,0,0,0,0,0,0,0,5.0000001,1.5,4.6999998,3.5,1
7,0,0,0,1,0,0,0,0,4.6,2.9999999,3.7999999,2.8000001,1
7,0,0,0,0,1,0,0,0,3.2000002,2.9999999,3.5,2.8000001,1
7,0,0,0,0,0,0,0,0,4.6,3.0999999,4.1999999,4.1999999,1
7,0,0,0,1,0,0,0,0,5.0000001,3.5999998,5.0000001,2.5,3
7,0,0,0,0,0,0,0,0,4.4,2.1,4.5000002,3.4000002,1
8,0,0,0,0,0,0,0,0,4.6,3.7,5.2000001,3.4000002,1
8,0,0,0,0,0,0,0,0,4.6,3.4000002,4.8,3.7,1
8,0,0,0,0,0,0,0,0,5.0000001,2.9999999,4.6999998,3.0999999,1
8,0,0,0,0,0,0,0,0,5.0000001,2.9999999,4.6999998,2.9999999,1
8,1,0,0,0,0,0,0,0,3.5,2.9999999,4.3000001,2.9999999,1
8,0,0,0,0,0,0,1,0,5.0000001,2.5,4.6999998,3.0999999,1
8,0,0,1,0,0,0,0,0,4.6,3.4000002,4.6999998,3.0999999,1
8,0,0,0,0,0,0,0,0,5.0000001,3.0999999,4.6999998,3.0999999,1
8,0,0,0,0,0,0,0,0,5.0000001,3.4000002,5.0000001,3.4000002,1
8,0,0,0,0,0,0,0,0,5.0000001,3.7,5.0000001,3.4000002,1
8,0,0,0,1,0,0,0,0,5.0000001,3.7,4.6,2.8000001,1
9,0,0,0,0,0,0,0,0,4.6,2.8000001,5.2000001,3.5999998,1
9,0,0,0,0,0,0,0,1,4.6,3.0999999,1.7000001,3.5999998,2
9,0,0,0,0,0,0,0,0,4.8999999,2.9999999,2.1,3.5,2
9,0,0,0,0,0,0,0,0,4.1999999,1.7999999,4.1999999,3.0999999,1
9,0,0,0,0,0,1,0,0,4.6,2.4,4.1000001,3.5,1
9,1,0,0,0,0,0,0,0,4.1999999,2.2,4.6,3.0999999,1
9,0,0,1,0,0,0,0,0,5.0000001,3.7,3.9000001,3.7,2
9,0,0,0,0,0,0,0,0,4.4,2.2,4.1999999,3.4000002,1
10,0,0,0,0,0,0,0,0,4.6,2.5,5.0000001,3.4000002,1
10,0,0,0,0,0,0,0,0,4.6,3.7,5.2000001,2.6000001,3
10,0,0,1,0,1,0,0,0,5.0000001,3.7,3.9000001,3.4000002,2
10,0,1,0,0,0,0,0,0,5.0000001,2.8000001,4.6999998,2.9999999,1
10,0,0,0,0,0,0,0,0,5.0000001,2.9999999,4.1000001,2.9999999,1
10,0,0,0,0,0,0,0,0,3.4000002,3.0999999,4.6999998,3.0999999,0
